timestamp,car_position_x,car_position_y,angle,speed,sensor_distances,traffic_light_state,action_taken,reward,ai_mode
green,0.14638533464344428,0.503936779269957,-1.0963772834799634,5.0,"[1.0, 1.0, 1.0, 0.9733333333333334, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",100.0,hybrid
green,0.15055123849321653,0.5038171903594418,-1.0963772834799634,5.0,"[1.0, 1.0, 1.0, 0.94, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",100.0,hybrid
green,0.1547171423429888,0.5036976014489266,-1.0963772834799634,5.0,"[1.0, 1.0, 1.0, 0.9133333333333333, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",100.0,hybrid
green,0.15888304619276106,0.5035780125384114,-1.0963772834799634,5.0,"[1.0, 1.0, 1.0, 0.8866666666666667, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",100.0,hybrid
green,0.1630489500425333,0.5034584236278962,-1.0963772834799634,5.0,"[1.0, 1.0, 1.0, 0.8533333333333334, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",100.0,hybrid
green,0.1672148538923056,0.503338834717381,-1.0963772834799634,5.0,"[1.0, 1.0, 1.0, 0.8266666666666667, 1.0, 1.0, 1.0]",hybrid,"{""accelerate"": true}",100.0,hybrid
green,0.17138075774207784,0.5032192458068657,-1.0963772834799634,4.95,"[1.0, 1.0, 1.0, 0.7933333333333333, 1.0, 1.0, 0.9933333333333333]",hybrid,"{""turn_left"": true}",96.1,hybrid
green,0.17547415921502296,0.5024548498964215,-7.096377283479963,4.9,"[1.0, 1.0, 1.0, 0.7733333333333333, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",95.7,hybrid
green,0.17945128625749693,0.5010669878362548,-13.096377283479965,4.8500000000000005,"[1.0, 1.0, 1.0, 0.7533333333333333, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",80.30000000000001,hybrid
green,0.18327053838965948,0.4990835915471369,-19.096377283479963,4.800000000000001,"[1.0, 1.0, 1.0, 1.0, 0.7066666666666667, 1.0, 1.0]",hybrid,"{""turn_left"": true}",79.9,hybrid
green,0.18689292086414963,0.4965387385613753,-25.096377283479963,4.750000000000001,"[1.0, 1.0, 1.0, 1.0, 0.68, 1.0, 1.0]",hybrid,"{""turn_left"": true}",76.0,hybrid
green,0.19028244067793137,0.49597214338562134,-23.67511582649656,4.700000000000001,"[1.0, 1.0, 1.0, 1.0, 0.66, 1.0, 1.0]",hybrid,"{""turn_left"": true}",89.60000000000001,hybrid
green,0.19368542325545807,0.495563540362113,-22.145577598601047,4.650000000000001,"[1.0, 1.0, 1.0, 1.0, 0.64, 1.0, 1.0]",hybrid,"{""turn_left"": true}",89.20000000000002,hybrid
green,0.19710221189439323,0.49532170595921804,-20.512362465669632,4.600000000000001,"[1.0, 1.0, 1.0, 1.0, 0.6133333333333333, 1.0, 1.0]",hybrid,"{""turn_left"": true}",88.80000000000001,hybrid
green,0.2005324244829281,0.49525495829061517,-18.78162213376806,4.550000000000002,"[1.0, 1.0, 1.0, 1.0, 0.5866666666666667, 1.0, 1.0]",hybrid,"{""turn_left"": true}",88.4,hybrid
green,0.20397492404677134,0.4953709807437173,-16.96099289874092,4.500000000000002,"[1.0, 1.0, 1.0, 1.0, 0.56, 1.0, 1.0]",hybrid,"{""turn_left"": true}",88.00000000000001,hybrid
green,0.20742781398719115,0.49567664374053566,-15.059462040664119,4.450000000000002,"[1.0, 1.0, 1.0, 1.0, 0.54, 1.0, 1.0]",hybrid,"{""turn_left"": true}",92.60000000000002,hybrid
green,0.2108884603447947,0.49617783371401686,-13.087173195479373,4.400000000000002,"[1.0, 1.0, 1.0, 1.0, 0.5133333333333333, 1.0, 1.0]",hybrid,"{""turn_left"": true}",52.20000000000002,hybrid
green,0.21435354153483857,0.4943792988159932,-19.087173195479373,4.350000000000002,"[1.0, 1.0, 1.0, 1.0, 0.49333333333333335, 1.0, 1.0]",hybrid,"{""turn_left"": true}",51.80000000000002,hybrid
green,0.2176365725989739,0.49457381685513874,-16.882424439196416,4.3000000000000025,"[1.0, 1.0, 1.0, 1.0, 0.4666666666666667, 1.0, 1.0]",hybrid,"{""turn_left"": true}",51.40000000000002,hybrid
green,0.22093791453574843,0.49498379456169034,-14.597877895960394,4.250000000000003,"[1.0, 1.0, 1.0, 1.0, 0.44, 1.0, 1.0]",hybrid,"{""turn_left"": true}",51.00000000000002,hybrid
green,0.22425317154211413,0.4956148199875128,-12.248975815407523,4.200000000000003,"[1.0, 1.0, 1.0, 1.0, 0.42, 1.0, 1.0]",hybrid,"{""turn_left"": true}",50.60000000000002,hybrid
green,0.2275771380760314,0.493970799129024,-18.248975815407523,4.150000000000003,"[1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 1.0]",hybrid,"{""turn_left"": true}",50.200000000000024,hybrid
green,0.23073034053315525,0.4943402796278522,-15.634263271282203,3.850000000000003,"[1.0, 1.0, 1.0, 1.0, 0.37333333333333335, 0.4, 1.0]",hybrid,"{""brake"": true}",-45.199999999999974,hybrid
green,0.23381997059808876,0.495543331329275,-6.5783347893798565,3.5500000000000034,"[1.0, 1.0, 1.0, 0.36666666666666664, 0.35333333333333333, 1.0, 1.0]",hybrid,"{""brake"": true}",-32.599999999999966,hybrid
green,0.236758826725314,0.4950349645888118,-6.5783347893798565,3.2500000000000036,"[1.0, 1.0, 1.0, 0.3333333333333333, 0.3466666666666667, 1.0, 1.0]",hybrid,"{""brake"": true}",-34.99999999999997,hybrid
green,0.2394493288136188,0.49456955841796524,-6.5783347893798565,2.9500000000000037,"[1.0, 1.0, 1.0, 0.32, 0.32666666666666666, 1.0, 1.0]",hybrid,"{""brake"": true}",-49.39999999999998,hybrid
green,0.2418914768630031,0.4941471128167352,-6.5783347893798565,2.650000000000004,"[1.0, 1.0, 1.0, 0.29333333333333333, 0.30666666666666664, 1.0, 1.0]",hybrid,"{""brake"": true}",-51.79999999999997,hybrid
green,0.24408527087346704,0.4937676277851218,-6.5783347893798565,2.350000000000004,"[1.0, 1.0, 1.0, 0.2866666666666667, 0.29333333333333333, 1.0, 1.0]",hybrid,"{""brake"": true}",-54.19999999999996,hybrid
green,0.2460307108450105,0.495931103323125,6.360953546858794,2.0500000000000043,"[1.0, 1.0, 1.0, 0.26666666666666666, 0.2733333333333333, 1.0, 1.0]",hybrid,"{""brake"": true}",-56.599999999999966,hybrid
green,0.24772852708599308,0.4962150069628968,6.360953546858794,1.7500000000000042,"[1.0, 1.0, 0.26666666666666666, 0.25333333333333335, 0.29333333333333333, 1.0, 1.0]",hybrid,"{""brake"": true}",-238.99999999999994,hybrid
green,0.24917788241366112,0.4964573637285556,6.360953546858794,1.4500000000000042,"[1.0, 1.0, 0.25333333333333335, 0.24, 0.2733333333333333, 1.0, 1.0]",hybrid,"{""brake"": true}",-241.39999999999998,hybrid
